#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_N E(PSI)	T4_17 E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48700666-48700791:target	0.300167607243;-0.300167607243	0.999999999376;0.999999999376	0.682;0.318	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48699451-48700666;48700665-48700666	48697661-48699451;48699452-48700665;48700666-48700791	;;	;;	(48699452, 48700665)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/53_T4_N_T4_17.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48697661-48699451:source	0.29601108858;-0.29601108858	0.999999999333;0.999999999333	0.686;0.314	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48699451-48700666;48699451-48699452	48697661-48699451;48699452-48700665;48700666-48700791	;;	;;	(48699452, 48700665)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/53_T4_N_T4_17.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
WDR91	ENSG00000105875	ENSG00000105875:134877967-134878310:source	-0.0171508470119;0.217739372941;-0.00135846942672;-0.151809600946	1.49660559151e-11;0.820156162005;1.76185822368e-08;0.0980187791309	0.074;0.692;0.068;0.173	0.032;0.905;0.061;0.025	t|1e0|2e1.1o1|3e1.1o1|4e1.1o1|i	True	True	False	3	2	1	chr7	-	134878229-134878330;134878151-134878330;134878098-134878330;134878310-134878311	134877967-134878310;134878311-134878329;134878330-134878625;134878330-134878625;134878330-134878625	;;;;	;;;;	(134878311, 134878329)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/32_T4_N_T4_17.deltapsi_quantify_deltapsi.html#WDR91
EXOC1	ENSG00000090989	ENSG00000090989:56762066-56762214:source	-0.0993917450653;-0.0886886336323;0.231882350965	0.0993139649058;0.00058609816227;0.865103055619	0.244;0.130;0.626	0.120;0.028;0.852	s|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr4	+	56762178-56762883;56762214-56762883;56762214-56762215	56762066-56762214;56762215-56762882;56762883-56763066;56762883-56763066	;;;	;;;	(56762215, 56762882)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/21_T4_N_T4_17.deltapsi_quantify_deltapsi.html#EXOC1
EXOC1	ENSG00000090989	ENSG00000090989:56762883-56763066:target	0.31113790699;-0.120326086746;-0.0876821475178;-0.0234554526536	0.99677589755;0.0906973953774;2.361041012e-05;0.00182304931508	0.352;0.224;0.123;0.302	0.655;0.093;0.026;0.229	t|1e1.3o3|1e2.1o2|1e2.2o2|i	True	False	True	3	3	1	chr4	+	56759946-56762883;56762178-56762883;56762214-56762883;56762882-56762883	56759718-56759946;56762066-56762214;56762066-56762214;56762215-56762882;56762883-56763066	;;;;	;;;;	(56762215, 56762882)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/21_T4_N_T4_17.deltapsi_quantify_deltapsi.html#EXOC1
EXOC1	ENSG00000090989	ENSG00000090989:56759718-56759946:source	-0.240738658806;0.240738658806	0.944183976541;0.944183976541	0.266;0.734	0.032;0.968	s|1e0|2e0|3e1.1o1|3e2.1o1	True	False	True	2	3	1	chr4	+	56759946-56762066;56759946-56762883	56759718-56759946;56762066-56762214;56762883-56763066	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/21_T4_N_T4_17.deltapsi_quantify_deltapsi.html#EXOC1
CIRH1A	ENSG00000141076	ENSG00000141076:69167361-69167521:target	0.355614342872;5.68862398065e-07;5.68862398065e-07;-0.358623724613;5.68862398065e-07	0.998451859739;2.65103981157e-15;2.65103981157e-15;0.998699744099;2.65103981157e-15	0.351;0.025;0.025;0.647;0.025	0.698;0.025;0.025;0.297;0.025	t|1e2.1o1|1e3.1o1|2e0|3e1.1o1|3e2.1o1|3e3.1o1	True	True	True	5	4	0	chr16	+	69166592-69167361;69166915-69167361;69165311-69167415;69166592-69167415;69166915-69167415	69165194-69165311;69166418-69166592;69166418-69166592;69166776-69166915;69166776-69166915;69167361-69167521	;;;;;	;;;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/73_T4_N_T4_17.deltapsi_quantify_deltapsi.html#CIRH1A
CIRH1A	ENSG00000141076	ENSG00000141076:69166418-69166592:source	0.376624948044;-0.246944271874;-0.108267063666	0.999774447048;0.890533228084;0.0831712210077	0.287;0.520;0.193	0.655;0.278;0.068	s|1e1.1o3|1e1.3o3|1e2.2o2	False	True	True	3	3	0	chr16	+	69166592-69167361;69166592-69167415;69166592-69170599	69166418-69166592;69167361-69167521;69167361-69167521;69170582-69170790	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/73_T4_N_T4_17.deltapsi_quantify_deltapsi.html#CIRH1A
TRA2A	ENSG00000164548	ENSG00000164548:23571408-23571660:target	-0.0996912959796;0.220777898092;-0.0915160889367	0.000113131611617;0.882362869626;0.0317569063463	0.154;0.423;0.424	0.043;0.639;0.314	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr7	-	23570889-23571408;23562051-23571408;23561459-23571408	23561326-23561459;23561740-23562051;23570800-23570889;23571408-23571660	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/94_T4_N_T4_17.deltapsi_quantify_deltapsi.html#TRA2A
MON1B	ENSG00000103111	ENSG00000103111:77227334-77227843:target	9.30276175138e-06;0.257249187814;-0.268186798951	3.18777111176e-16;0.939018052894;0.961507075029	0.025;0.461;0.538	0.025;0.712;0.276	t|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr16	+	77225530-77227334;77225530-77227348;77227333-77227334	77225373-77225530;77225373-77225530;77225531-77227333;77227334-77227843	;;;	;;;	(77225531, 77227333)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/28_T4_N_T4_17.deltapsi_quantify_deltapsi.html#MON1B
MON1B	ENSG00000103111	ENSG00000103111:77225373-77225530:source	9.00903193524e-06;0.232564213564;-0.0622874204985;-0.123034944411	5.47759720322e-16;0.865132848536;0.00502013152747;0.179328916393	0.025;0.508;0.172;0.320	0.025;0.735;0.077;0.178	s|1e1.1o2|1e1.2o2|1e2.2o2|i	False	True	True	3	3	1	chr16	+	77225530-77227334;77225530-77227348;77225530-77228232;77225530-77225531	77225373-77225530;77225531-77227333;77227334-77227843;77227334-77227843;77227865-77229051	;;;;	;;;;	(77225531, 77227333)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/28_T4_N_T4_17.deltapsi_quantify_deltapsi.html#MON1B
ZNFX1	ENSG00000124201	ENSG00000124201:47872345-47872530:source	0.00146241443318;-0.000841987940871;0.242561538857;-0.209128133478	2.91201746516e-10;1.87506443671e-13;0.967934068378;0.917649999609	0.025;0.033;0.704;0.229	0.037;0.026;0.940;0.025	t|1e1.1o1|2e1.1o1|3e1.1o1|i	True	True	False	3	2	1	chr20	-	47872530-47873954;47872515-47873954;47872484-47873954;47872530-47872531	47872345-47872530;47872531-47873953;47873954-47874201;47873954-47874201;47873954-47874201	;;;;	;;;;	(47872531, 47873953)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/53_T4_N_T4_17.deltapsi_quantify_deltapsi.html#ZNFX1
ZNFX1	ENSG00000124201	ENSG00000124201:47871032-47871186:source	0.30444001376;-0.30444001376	0.999999699367;0.999999699367	0.678;0.322	0.975;0.025	t|1e1.2o2|i	False	False	False	1	2	1	chr20	-	47871186-47872345;47871186-47871187	47871032-47871186;47871187-47872344;47872345-47872530	;;	;;	(47871187, 47872344)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/53_T4_N_T4_17.deltapsi_quantify_deltapsi.html#ZNFX1
ZNFX1	ENSG00000124201	ENSG00000124201:47873954-47874201:target	0.00155657197178;-0.00130257928799;0.19974879402;-0.163521803553	3.84676592194e-10;3.05044178551e-13;0.69987380826;0.214901175194	0.025;0.036;0.745;0.184	0.038;0.026;0.939;0.025	s|1e1.1o3|1e1.2o3|1e1.3o3|i	False	True	False	3	2	1	chr20	-	47872530-47873954;47872515-47873954;47872484-47873954;47873953-47873954	47872345-47872530;47872345-47872530;47872345-47872530;47872531-47873953;47873954-47874201	;;;;	;;;;	(47872531, 47873953)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/53_T4_N_T4_17.deltapsi_quantify_deltapsi.html#ZNFX1
ZNFX1	ENSG00000124201	ENSG00000124201:47872345-47872530:target	0.37851437886;-0.37851437886	0.99999999999;0.99999999999	0.606;0.394	0.975;0.025	s|1e0|2e0|2e1.1o1|i	True	False	False	1	2	1	chr20	-	47871186-47872345;47872344-47872345	47871032-47871186;47871187-47872344;47872345-47872530	;;	;;	(47871187, 47872344)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/53_T4_N_T4_17.deltapsi_quantify_deltapsi.html#ZNFX1
MX1	ENSG00000157601	ENSG00000157601:42799682-42799997:target	-0.197050433258;-0.000811850314065;0.23268602174	0.659441581149;6.90761180963e-18;0.894114500191	0.455;0.032;0.506	0.261;0.025;0.733	t|1e1.1o1|1e2.1o2|1e2.2o2	True	False	True	3	3	1	chr21	+	42798190-42799682;42798324-42799682;42799231-42799682	42798094-42798190;42798197-42799231;42798197-42799231;42799682-42799997	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/86_T4_N_T4_17.deltapsi_quantify_deltapsi.html#MX1
DNAJC1	ENSG00000136770	ENSG00000136770:22207708-22207801:target	-0.308331860314;0.308331860314	0.998545221526;0.998545221526	0.326;0.674	0.025;0.975	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr10	-	22195445-22207708;22193541-22207708	22193451-22193541;22195352-22195445;22207708-22207801	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/68_T4_N_T4_17.deltapsi_quantify_deltapsi.html#DNAJC1
DNAJC1	ENSG00000136770	ENSG00000136770:22094909-22095028:target	-0.310340464494;0.310340464494	0.981357335051;0.981357335051	0.465;0.535	0.162;0.838	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr10	-	22092913-22094909;22055238-22094909	22055190-22055238;22092903-22092913;22094909-22095028	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsTH17//summaries/68_T4_N_T4_17.deltapsi_quantify_deltapsi.html#DNAJC1
