#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_2 E(PSI)	T4_17 E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
RBBP7	ENSG00000102054	ENSG00000102054:16870872-16871093:source	-0.390163882841;0.390163882841	1.0;1.0	0.975;0.025	0.595;0.405	t|1e0|2e1.1o1|i	False	True	False	1	2	1	chrX	-	16870998-16871805;16871093-16871094	16870872-16871093;16871094-16871804;16871805-16871965	;;	;;	(16871094, 16871804)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH2vsTH17//summaries/39_T4_2_T4_17.deltapsi_quantify_deltapsi.html#RBBP7
RBBP7	ENSG00000102054	ENSG00000102054:16870674-16870751:source	-0.307621278654;0.307621278654	0.99999831685;0.99999831685	0.975;0.025	0.675;0.325	t|1e1.1o1|i	False	False	False	1	2	1	chrX	-	16870751-16870872;16870751-16870752	16870674-16870751;16870752-16870871;16870872-16871093	;;	;;	(16870752, 16870871)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH2vsTH17//summaries/39_T4_2_T4_17.deltapsi_quantify_deltapsi.html#RBBP7
RBBP7	ENSG00000102054	ENSG00000102054:16870872-16871093:target	-0.277392504006;-5.46185143763e-05;0.0167949322022;0.241602469248	0.998435422161;3.2148816824e-18;1.10114940543e-10;0.990568089511	0.936;0.026;0.027;0.025	0.666;0.025;0.075;0.261	s|1e1.1o1|1e2.1o1|1e3.3o4|i	False	False	True	3	4	1	chrX	-	16870751-16870872;16870673-16870872;16870245-16870872;16870871-16870872	16870169-16870403;16870539-16870673;16870674-16870751;16870752-16870871;16870872-16871093	;;;;	;;;;	(16870752, 16870871)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH2vsTH17//summaries/39_T4_2_T4_17.deltapsi_quantify_deltapsi.html#RBBP7
RBBP7	ENSG00000102054	ENSG00000102054:16871805-16871965:target	-0.312208266996;0.312208266996	0.999999019278;0.999999019278	0.975;0.025	0.671;0.329	s|1e1.2o2|i	False	False	False	1	2	1	chrX	-	16870998-16871805;16871804-16871805	16870872-16871093;16871094-16871804;16871805-16871965	;;	;;	(16871094, 16871804)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH2vsTH17//summaries/39_T4_2_T4_17.deltapsi_quantify_deltapsi.html#RBBP7
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48713209-48713357:target	-0.412762331539;0.412762331539	1.0;1.0	0.975;0.025	0.573;0.427	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48700791-48713209;48713208-48713209	48700666-48700791;48700792-48713208;48713209-48713357	;;	;;	(48700792, 48713208)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH2vsTH17//summaries/74_T4_2_T4_17.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48700666-48700791:source	-0.432986000363;0.432986000363	1.0;1.0	0.975;0.025	0.553;0.447	t|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48700791-48713209;48700791-48700792	48700666-48700791;48700792-48713208;48713209-48713357	;;	;;	(48700792, 48713208)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH2vsTH17//summaries/74_T4_2_T4_17.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
ERCC5	ENSG00000134899	ENSG00000134899:103497194-103498704:source	1.6704325627e-15;-9.8210576192e-05;-0.273329977483;0.258357718198	3.1508939398e-18;3.26657511786e-18;0.99816083263;0.999435927901	0.025;0.027;0.973;0.025	0.025;0.025;0.706;0.277	s|1e1.1o1|2e2.1o1|2e3.1o1|i	True	False	True	3	4	1	chr13	+	103498664-103501468;103498704-103501687;103498704-103504468;103498704-103498705	103497194-103498704;103498705-103501467;103501468-103501544;103501687-103501697;103504468-103504643	;;;;	;;;;	(103498705, 103501467)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH2vsTH17//summaries/92_T4_2_T4_17.deltapsi_quantify_deltapsi.html#ERCC5
ERCC5	ENSG00000134899	ENSG00000134899:103504468-103504643:target	-0.273167909325;-0.000135306674475;0.25934464153	0.997763022316;3.30993714406e-18;0.999525571367	0.972;0.027;0.025	0.706;0.025;0.278	t|1e1.2o2|1e2.1o1|i	False	False	True	2	3	1	chr13	+	103498704-103504468;103501544-103504468;103504467-103504468	103497194-103498704;103501468-103501544;103501698-103504467;103504468-103504643	;;;	;;;	(103501698, 103504467)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH2vsTH17//summaries/92_T4_2_T4_17.deltapsi_quantify_deltapsi.html#ERCC5
ZNFX1	ENSG00000124201	ENSG00000124201:47871032-47871186:target	-0.387630776115;0.387630776115	0.999999999991;0.999999999991	0.975;0.025	0.597;0.403	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	47870348-47871032;47871031-47871032	47870203-47870348;47870349-47871031;47871032-47871186	;;	;;	(47870349, 47871031)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH2vsTH17//summaries/74_T4_2_T4_17.deltapsi_quantify_deltapsi.html#ZNFX1
ZNFX1	ENSG00000124201	ENSG00000124201:47870203-47870348:source	-0.213922025754;0.213922025754	0.855983629385;0.855983629385	0.975;0.025	0.766;0.234	t|1e1.1o1|i	False	False	False	1	2	1	chr20	-	47870348-47871032;47870348-47870349	47870203-47870348;47870349-47871031;47871032-47871186	;;	;;	(47870349, 47871031)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH2vsTH17//summaries/74_T4_2_T4_17.deltapsi_quantify_deltapsi.html#ZNFX1
