#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_1 E(PSI)	T4_17 E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
RBBP7	ENSG00000102054	ENSG00000102054:16870872-16871093:source	-0.389423246018;0.389423246018	1.0;1.0	0.975;0.025	0.595;0.405	t|1e0|2e1.1o1|i	False	True	False	1	2	1	chrX	-	16870998-16871805;16871093-16871094	16870872-16871093;16871094-16871804;16871805-16871965	;;	;;	(16871094, 16871804)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/39_T4_1_T4_17.deltapsi_quantify_deltapsi.html#RBBP7
RBBP7	ENSG00000102054	ENSG00000102054:16870674-16870751:source	-0.309016594453;0.309016594453	0.999998354755;0.999998354755	0.975;0.025	0.674;0.326	t|1e1.1o1|i	False	False	False	1	2	1	chrX	-	16870751-16870872;16870751-16870752	16870674-16870751;16870752-16870871;16870872-16871093	;;	;;	(16870752, 16870871)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/39_T4_1_T4_17.deltapsi_quantify_deltapsi.html#RBBP7
RBBP7	ENSG00000102054	ENSG00000102054:16870872-16871093:target	-0.0819232682243;-4.22769112492e-08;-0.118088215405;0.240708576667	0.0759843820653;3.49491509999e-18;0.0613363745083;0.988881151692	0.790;0.025;0.203;0.025	0.666;0.025;0.075;0.260	s|1e1.1o1|1e2.1o1|1e3.3o4|i	False	False	True	3	4	1	chrX	-	16870751-16870872;16870673-16870872;16870245-16870872;16870871-16870872	16870169-16870403;16870539-16870673;16870674-16870751;16870752-16870871;16870872-16871093	;;;;	;;;;	(16870752, 16870871)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/39_T4_1_T4_17.deltapsi_quantify_deltapsi.html#RBBP7
RBBP7	ENSG00000102054	ENSG00000102054:16871805-16871965:target	-0.312699030962;0.312699030962	0.999998901874;0.999998901874	0.975;0.025	0.670;0.330	s|1e1.2o2|i	False	False	False	1	2	1	chrX	-	16870998-16871805;16871804-16871805	16870872-16871093;16871094-16871804;16871805-16871965	;;	;;	(16871094, 16871804)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/39_T4_1_T4_17.deltapsi_quantify_deltapsi.html#RBBP7
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48713209-48713357:target	-0.412042338411;0.412042338411	1.0;1.0	0.975;0.025	0.573;0.427	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48700791-48713209;48713208-48713209	48700666-48700791;48700792-48713208;48713209-48713357	;;	;;	(48700792, 48713208)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/75_T4_1_T4_17.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
TMEM189-UBE2V1	ENSG00000124208	ENSG00000124208:48700666-48700791:source	-0.434519787822;0.434519787822	1.0;1.0	0.975;0.025	0.551;0.449	t|1e1.1o1|i	False	False	False	1	2	1	chr20	-	48700791-48713209;48700791-48700792	48700666-48700791;48700792-48713208;48713209-48713357	;;	;;	(48700792, 48713208)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/75_T4_1_T4_17.deltapsi_quantify_deltapsi.html#TMEM189-UBE2V1
ERCC5	ENSG00000134899	ENSG00000134899:103497194-103498704:source	-6.50038929342e-11;-1.69876050138e-06;-0.278144774397;0.260667091805	3.49487436479e-18;3.49721624692e-18;0.999962060407;0.999794263695	0.025;0.025;0.975;0.025	0.025;0.025;0.704;0.279	s|1e1.1o1|2e2.1o1|2e3.1o1|i	True	False	True	3	4	1	chr13	+	103498664-103501468;103498704-103501687;103498704-103504468;103498704-103498705	103497194-103498704;103498705-103501467;103501468-103501544;103501687-103501697;103504468-103504643	;;;;	;;;;	(103498705, 103501467)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/92_T4_1_T4_17.deltapsi_quantify_deltapsi.html#ERCC5
ERCC5	ENSG00000134899	ENSG00000134899:103504468-103504643:target	-0.159277867244;-0.108971198117;0.25981385978	0.320082918774;0.00183616261694;0.999664455997	0.864;0.136;0.025	0.705;0.025;0.278	t|1e1.2o2|1e2.1o1|i	False	False	True	2	3	1	chr13	+	103498704-103504468;103501544-103504468;103504467-103504468	103497194-103498704;103501468-103501544;103501698-103504467;103504468-103504643	;;;	;;;	(103501698, 103504467)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/92_T4_1_T4_17.deltapsi_quantify_deltapsi.html#ERCC5
ERCC5	ENSG00000134899	ENSG00000134899:103506638-103506724:target	-0.442556223575;0.442556223575	1.0;1.0	0.975;0.025	0.544;0.456	t|1e1.1o2|i	False	False	False	1	2	1	chr13	+	103506222-103506638;103506637-103506638	103506107-103506283;103506284-103506637;103506638-103506724	;;	;;	(103506284, 103506637)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/92_T4_1_T4_17.deltapsi_quantify_deltapsi.html#ERCC5
ERCC5	ENSG00000134899	ENSG00000134899:103506107-103506283:source	-0.443864687731;0.443864687731	1.0;1.0	0.975;0.025	0.542;0.458	s|1e0|1e1.1o1|2e0|i	True	False	False	1	2	1	chr13	+	103506222-103506638;103506283-103506284	103506107-103506283;103506284-103506637;103506638-103506724	;;	;;	(103506284, 103506637)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/92_T4_1_T4_17.deltapsi_quantify_deltapsi.html#ERCC5
ZNFX1	ENSG00000124201	ENSG00000124201:47871032-47871186:target	-0.387967767482;0.387967767482	0.999999999995;0.999999999995	0.975;0.025	0.597;0.403	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	47870348-47871032;47871031-47871032	47870203-47870348;47870349-47871031;47871032-47871186	;;	;;	(47870349, 47871031)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/75_T4_1_T4_17.deltapsi_quantify_deltapsi.html#ZNFX1
ZNFX1	ENSG00000124201	ENSG00000124201:47870203-47870348:source	-0.21297449087;0.21297449087	0.848854875022;0.848854875022	0.975;0.025	0.767;0.233	t|1e1.1o1|i	False	False	False	1	2	1	chr20	-	47870348-47871032;47870348-47870349	47870203-47870348;47870349-47871031;47871032-47871186	;;	;;	(47870349, 47871031)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/75_T4_1_T4_17.deltapsi_quantify_deltapsi.html#ZNFX1
COMMD3-BMI1	ENSG00000269897	ENSG00000269897:22616671-22616721:source	-0.240926830147;0.240926830147	0.983916808577;0.983916808577	0.975;0.025	0.740;0.260	s|1e1.1o1|i	False	False	False	1	2	1	chr10	+	22616721-22616879;22616721-22616722	22616671-22616721;22616722-22616878;22616879-22616987	;;	;;	(22616722, 22616878)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/192_T4_1_T4_17.deltapsi_quantify_deltapsi.html#COMMD3-BMI1
COMMD3-BMI1	ENSG00000269897	ENSG00000269897:22607201-22607235:source	-0.485889127184;-0.000128741179384;-4.74955805022e-06;0.487222490886	0.99999999692;1.42682962497e-09;1.00498720555e-11;0.999999999994	0.971;0.027;0.025;0.025	0.497;0.025;0.025;0.500	s|1e1.1o1|1e2.1o1|1e3.1o1|i	False	False	True	3	4	1	chr10	+	22607235-22607582;22607235-22607888;22607235-22615360;22607235-22607236	22607201-22607235;22607236-22607581;22607582-22607642;22607888-22607947;22615360-22615490	;;;;	;;;;	(22607236, 22607581)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/192_T4_1_T4_17.deltapsi_quantify_deltapsi.html#COMMD3-BMI1
COMMD3-BMI1	ENSG00000269897	ENSG00000269897:22607582-22607642:target	-0.610346910942;0.610346910942	1.0;1.0	0.975;0.025	0.380;0.620	t|1e1.1o1|i	False	False	False	1	2	1	chr10	+	22607235-22607582;22607581-22607582	22607201-22607235;22607236-22607581;22607582-22607642	;;	;;	(22607236, 22607581)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/192_T4_1_T4_17.deltapsi_quantify_deltapsi.html#COMMD3-BMI1
GLOD4	ENSG00000167699	ENSG00000167699:680108-680932:source	-0.251530023444;-0.00101221454269;0.232628022911	0.98654420802;8.60679585935e-13;0.988559067029	0.944;0.054;0.025	0.699;0.047;0.252	t|1e0|2e1.1o1|2e2.1o3|i	False	True	True	2	3	1	chr17	-	680228-681935;680228-681862;680932-680933	680108-680932;680933-681541;681542-681901;681935-682050	;;;	;;;	(680933, 681541)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/142_T4_1_T4_17.deltapsi_quantify_deltapsi.html#GLOD4
GLOD4	ENSG00000167699	ENSG00000167699:673661-673747:target	-3.02972220183e-08;-0.219728510476;-2.20094233545e-07;0.21880816581	3.4949034871e-18;0.967261381611;3.49508631656e-18;0.96626708699	0.025;0.975;0.025;0.025	0.025;0.761;0.025;0.238	s|1e0|2e1.1o2|2e1.2o2|2e2.1o1|i	True	True	True	3	3	1	chr17	-	673464-673661;673397-673661;663478-673661;673660-673661	663428-663478;673284-673464;673284-673464;673465-673660;673661-673747	;;;;	;;;;	(673465, 673660)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/142_T4_1_T4_17.deltapsi_quantify_deltapsi.html#GLOD4
SNHG8	ENSG00000269893	ENSG00000269893:119199864-119199964:source	-0.0751504540017;-2.27303714267e-12;-0.485098676351;-6.67203110843e-07;0.552906578835	3.60732225513e-06;3.4948743043e-18;1.0;3.49551701177e-18;1.0	0.112;0.025;0.866;0.025;0.025	0.025;0.025;0.393;0.025;0.564	s|1e1.1o3|1e1.3o3|1e2.1o1|2e2.1o1|i	True	True	True	4	3	1	chr4	+	119199947-119200099;119199947-119200262;119199947-119200544;119199964-119200544;119199964-119199965	119199864-119199964;119199965-119200098;119200099-119200292;119200099-119200292;119200544-119200586;119200544-119200586	;;;;;	;;;;;	(119199965, 119200098)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/192_T4_1_T4_17.deltapsi_quantify_deltapsi.html#SNHG8
BRAT1	ENSG00000106009	ENSG00000106009:2579178-2579276:source	-0.284468646424;0.284468646424	0.999730021352;0.999730021352	0.975;0.025	0.698;0.302	t|1e1.1o1|i	False	False	False	1	2	1	chr7	-	2579276-2579420;2579276-2579277	2579178-2579276;2579277-2579419;2579420-2579541	;;	;;	(2579277, 2579419)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/48_T4_1_T4_17.deltapsi_quantify_deltapsi.html#BRAT1
BRAT1	ENSG00000106009	ENSG00000106009:2579420-2579541:source	-0.00351107660707;-0.570357302086;-7.8215937667e-05;0.612964801591	7.33769617167e-07;0.999999999997;1.1064154187e-10;1.0	0.054;0.927;0.026;0.025	0.025;0.371;0.025;0.623	t|1e1.1o1|2e1.1o1|2e2.1o1|i	True	True	True	3	3	1	chr7	-	2579541-2580613;2579522-2580613;2579522-2580464;2579541-2579542	2579420-2579541;2579542-2580463;2580464-2580528;2580613-2580686;2580613-2580686	;;;;	;;;;	(2579542, 2580463)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_TH1vsTH17//summaries/48_T4_1_T4_17.deltapsi_quantify_deltapsi.html#BRAT1
