#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th2_p_A E(PSI)	Th2_p_r E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
ID2	ENSG00000115738	ENSG00000115738:8822910-8823137:target	-0.330460396696;0.330460396696	0.994284629801;0.994284629801	0.916;0.084	0.594;0.406	t|1e0|2e1.1o1|i	False	True	False	1	2	1	chr2	+	8822643-8822973;8822909-8822910	8821984-8822643;8822644-8822909;8822910-8823137	;;	;;	(8822644, 8822909)	file:///data/THelper/./voila/dpsi/TH2p_PolyAvTotal//summaries/20_Th2_p_A_Th2_p_r.deltapsi_quantify_deltapsi.html#ID2
RBM4	ENSG00000173933	ENSG00000173933:66406088-66406364:source	-0.00776893119695;7.00609537201e-06;-0.1331661296;0.296110728632	0.0153033575234;7.57180760506e-09;0.405630535544;0.962180184015	0.418;0.025;0.575;0.025	0.337;0.025;0.344;0.314	s|1e1.2o3|1e1.3o3|2e1.2o3|i	True	True	False	3	2	1	chr11	+	66406223-66407171;66406223-66407310;66406364-66407171;66406364-66406365	66406088-66406364;66406365-66406405;66406406-66408663;66406406-66408663;66406406-66408663	;;;;	;;;;	(66406365, 66406405)	file:///data/THelper/./voila/dpsi/TH2p_PolyAvTotal//summaries/49_Th2_p_A_Th2_p_r.deltapsi_quantify_deltapsi.html#RBM4
NCR3	ENSG00000204475	ENSG00000204475:31557303-31557410:target	-0.0356806762737;0.260760895498;-0.0805263480761	0.00461578876576;0.834808428421;0.233441542961	0.113;0.623;0.265	0.027;0.899;0.091	s|1e1.1o1|1e2.1o2|1e2.2o2	False	True	True	3	3	0	chr6	-	31557165-31557303;31557008-31557303;31556953-31557303	31556672-31557008;31556672-31557008;31557051-31557165;31557303-31557410	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_PolyAvTotal//summaries/59_Th2_p_A_Th2_p_r.deltapsi_quantify_deltapsi.html#NCR3
BCKDK	ENSG00000103507	ENSG00000103507:31123442-31124110:target	-0.438089982955;3.75137608645e-05;0.443179079627	0.98378402988;3.32844734581e-06;0.985003863434	0.629;0.027;0.353	0.198;0.029;0.788	t|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr16	+	31123348-31123442;31123348-31123518;31123441-31123442	31123190-31123348;31123190-31123348;31123349-31123441;31123442-31124110	;;;	;;;	(31123349, 31123441)	file:///data/THelper/./voila/dpsi/TH2p_PolyAvTotal//summaries/13_Th2_p_A_Th2_p_r.deltapsi_quantify_deltapsi.html#BCKDK
ACO1	ENSG00000122729	ENSG00000122729:32449996-32454767:target	-0.282463176674;4.2220759031e-05;0.288226406978;-0.000118643289792;4.2220759031e-05	0.825920545758;2.97062881565e-06;0.866629709779;3.36786446825e-06;2.97062881565e-06	0.962;0.025;0.025;0.031;0.025	0.666;0.027;0.309;0.027;0.027	t|1e2.1o1|2e1.1o1|3e3.3o6|4e3.4o6|5e3.5o6	True	True	True	5	4	1	chr9	+	32449079-32449996;32448836-32451228;32451353-32452640;32452780-32453490;32453617-32454384	32448826-32448836;32448894-32449079;32449996-32454767	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_PolyAvTotal//summaries/22_Th2_p_A_Th2_p_r.deltapsi_quantify_deltapsi.html#ACO1
COG4	ENSG00000103051	ENSG00000103051:70543134-70543291:target	-9.81370717059e-07;-0.499808606737;0.499939044266	1.11203638122e-08;0.998927299355;0.998911470888	0.026;0.713;0.281	0.026;0.225;0.768	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr16	-	70542727-70543134;70542367-70543134;70543133-70543134	70542309-70542367;70542704-70542727;70542728-70543133;70543134-70543291	;;;	;;;	(70542728, 70543133)	file:///data/THelper/./voila/dpsi/TH2p_PolyAvTotal//summaries/12_Th2_p_A_Th2_p_r.deltapsi_quantify_deltapsi.html#COG4
EED	ENSG00000074266	ENSG00000074266:85988960-85989403:source	-0.272807326285;0.272807326285	0.898470837165;0.898470837165	0.951;0.049	0.684;0.316	s|1e0|1e1.1o1|2e0|i	True	False	False	1	2	1	chr11	+	85989033-85989441;85989403-85989404	85988960-85989403;85989404-85989440;85989441-85989855	;;	;;	(85989404, 85989440)	file:///data/THelper/./voila/dpsi/TH2p_PolyAvTotal//summaries/6_Th2_p_A_Th2_p_r.deltapsi_quantify_deltapsi.html#EED
DDHD1	ENSG00000100523	ENSG00000100523:53570017-53570574:target	9.57443892968e-05;-0.001178725182;-0.144282325617;0.226284091272	1.74082754017e-06;0.00107203098357;0.433976176164;0.737461098589	0.027;0.107;0.834;0.052	0.031;0.081;0.584;0.310	s|1e1.1o1|1e2.1o1|1e3.3o3|1e4.1o1|2e0	True	False	True	4	5	1	chr14	-	53569769-53570401;53562936-53570401;53560162-53570401;53558650-53570401	53558503-53558650;53560034-53560569;53562835-53562936;53569749-53569769;53570017-53570574	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2p_PolyAvTotal//summaries/11_Th2_p_A_Th2_p_r.deltapsi_quantify_deltapsi.html#DDHD1
MADD	ENSG00000110514	ENSG00000110514:47305926-47306116:target	-0.243708062357;0.243708062357	0.77720744915;0.77720744915	0.975;0.025	0.734;0.266	t|1e1.1o1|i	False	False	False	1	2	1	chr11	+	47305832-47305926;47305925-47305926	47305729-47305832;47305833-47305925;47305926-47306116	;;	;;	(47305833, 47305925)	file:///data/THelper/./voila/dpsi/TH2p_PolyAvTotal//summaries/16_Th2_p_A_Th2_p_r.deltapsi_quantify_deltapsi.html#MADD
LYPLA1	ENSG00000120992	ENSG00000120992:55012910-55013499:target	9.66448206177e-07;-0.000562256822979;-0.14562352161;9.66448206177e-07;0.267481902071;-0.00377937705637;9.66448206177e-07;9.66448206177e-07	3.92182008433e-10;6.59687929211e-07;0.266382931419;3.92182008433e-10;0.909348628962;0.0001357249136;3.92182008433e-10;3.92182008433e-10	0.025;0.042;0.175;0.025;0.695;0.080;0.025;0.025	0.025;0.025;0.025;0.025;0.959;0.033;0.025;0.025	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1|1e8.1o2|2e0	True	False	True	8	9	1	chr8	-	55012907-55013468;55000056-55013468;54994583-55013468;54992889-55013468;54978373-55013468;54975935-55013468;54967693-55013468;54963748-55013468	54963571-54963748;54967013-54967693;54975888-54975935;54977893-54978373;54992813-54992889;54994573-54994583;55000046-55000056;55012784-55012907;55012910-55013499	;;;;;;;;	;;;;;;;;		file:///data/THelper/./voila/dpsi/TH2p_PolyAvTotal//summaries/22_Th2_p_A_Th2_p_r.deltapsi_quantify_deltapsi.html#LYPLA1
