#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_e_A E(PSI)	Th17_e_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
GLCCI1	ENSG00000106415	ENSG00000106415:8095063-8095179:target	0.294855666897;-8.67409071691e-06;0.000425741430581;-0.349513726628	0.858685077539;7.07623138747e-08;1.99862079229e-06;0.937824130003	0.121;0.026;0.026;0.867	0.434;0.025;0.048;0.514	t|1e2.1o2|1e3.1o1|2e1.1o2|2e2.1o2|3e0	True	True	True	4	4	0	chr7	+	8062199-8095063;8064444-8095063;8043689-8095066;8062199-8095066	8043527-8043877;8062113-8062354;8062113-8062354;8064345-8064444;8095063-8095179	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH17e//summaries/6_Th1_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#GLCCI1
GLCCI1	ENSG00000106415	ENSG00000106415:8062113-8062354:source	-1.15690229359e-05;0.330602748517;-0.324873945041	9.9677014924e-08;0.913066500822;0.900391355818	0.026;0.120;0.872	0.025;0.458;0.537	s|1e1.1o1|1e2.1o3|1e2.2o3|2e0	True	True	True	3	3	0	chr7	+	8062199-8064345;8062199-8095063;8062199-8095066	8062113-8062354;8064345-8064444;8095063-8095179;8095063-8095179	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH17e//summaries/6_Th1_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#GLCCI1
VTI1A	ENSG00000151532	ENSG00000151532:114206756-114207225:source	0.235312502045;-0.0127275304206;-0.0164740067971	0.770684098279;0.0223476764265;0.0425145898087	0.038;0.188;0.778	0.289;0.072;0.639	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr10	+	114207225-114208140;114207225-114208640;114207225-114220283	114206756-114207225;114208140-114208247;114208640-114210484;114220283-114220341	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH17e//summaries/18_Th1_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#VTI1A
LEF1	ENSG00000138795	ENSG00000138795:109087814-109087953:target	0.254683546674;-0.254683546674	0.847623830754;0.847623830754	0.042;0.958	0.302;0.698	s|1e1.4o4|i	False	False	False	1	2	1	chr4	-	109086319-109087814;109087813-109087814	109086253-109086413;109087458-109087813;109087814-109087953	;;	;;	(109087458, 109087813)	file:///data/THelper/./voila/dpsi/TH1e_TH17e//summaries/15_Th1_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#LEF1
STAU2	ENSG00000040341	ENSG00000040341:74600886-74601048:source	-6.7558177822e-06;-6.7558177822e-06;-0.338859262683;0.343819417253;-6.7558177822e-06	5.6878412845e-08;5.6878412845e-08;0.967444597141;0.981094414904;5.6878412845e-08	0.026;0.026;0.948;0.039;0.026	0.025;0.025;0.615;0.376;0.025	t|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1|1e5.1o1	False	False	True	5	6	0	chr8	-	74601048-74659622;74601048-74659018;74601048-74650519;74601048-74621267;74601048-74609543	74600886-74601048;74609543-74609677;74621267-74621412;74650519-74650584;74659018-74659172;74659622-74659943	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH17e//summaries/1_Th1_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#STAU2
CNOT2	ENSG00000111596	ENSG00000111596:70712804-70713144:source	0.288265684026;-0.288265684026	0.901862338457;0.901862338457	0.667;0.333	0.957;0.043	s|1e0|2e0|3e0|4e1.1o1|4e2.2o3	True	False	True	2	3	0	chr12	+	70713144-70723203;70713144-70729218	70712804-70713144;70723203-70723413;70728215-70729613	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH17e//summaries/8_Th1_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CNOT2
PFKFB3	ENSG00000170525	ENSG00000170525:6255586-6255711:target	-0.296993114666;-1.22109892852e-05;0.304490776053	0.922001950379;3.85685702012e-08;0.934126417171	0.372;0.026;0.621	0.079;0.025;0.920	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr10	+	6186976-6255586;6188459-6255586;6245299-6255586	6186881-6186976;6188279-6188459;6244829-6245299;6255586-6255711	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH17e//summaries/24_Th1_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PFKFB3
SETD5	ENSG00000168137	ENSG00000168137:9475529-9475634:source	0.00211962389575;0.373636606096;-0.431951391046;-7.46823987624e-06	0.000329509258755;0.95185028025;0.983837411954;1.00755385934e-07	0.043;0.140;0.814;0.026	0.092;0.514;0.390;0.025	s|1e0|2e1.2o2|2e2.1o2|2e2.2o2|i	True	True	True	3	3	1	chr3	+	9475634-9475729;9475634-9475961;9475634-9476018;9475634-9475635	9475529-9475634;9475635-9475676;9475677-9475865;9475961-9476169;9475961-9476169	;;;;	;;;;	(9475635, 9475676)	file:///data/THelper/./voila/dpsi/TH1e_TH17e//summaries/23_Th1_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#SETD5
SETD5	ENSG00000168137	ENSG00000168137:9475961-9476169:target	0.428487672132;0.00010091020928;-0.35322853513;-0.00182764387313	0.988007249676;5.60586822079e-07;0.905032667632;0.000401654990458	0.131;0.026;0.783;0.078	0.552;0.033;0.416;0.025	t|1e1.2o2|1e2.1o1|2e1.2o2|i	True	True	True	3	3	1	chr3	+	9475634-9475961;9475865-9475961;9475634-9476018;9475960-9475961	9475529-9475634;9475529-9475634;9475677-9475865;9475866-9475960;9475961-9476169	;;;;	;;;;	(9475866, 9475960)	file:///data/THelper/./voila/dpsi/TH1e_TH17e//summaries/23_Th1_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#SETD5
MYCBP2	ENSG00000005810	ENSG00000005810:77799570-77799689:source	-0.217297618775;0.208740174712;6.78401413981e-06	0.656104938289;0.628267135575;3.04847882827e-07	0.375;0.617;0.026	0.096;0.895;0.027	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1	chr13	-	77799689-77817194;77799689-77807291;77799689-77801177	77799570-77799689;77801177-77801292;77807291-77807398;77817194-77817295	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH17e//summaries/0_Th1_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#MYCBP2
