#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th2_e_A E(PSI)	Th17_e_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
BIVM	ENSG00000134897	ENSG00000134897:103457657-103457740:target	-0.00270342729366;-0.275611200073;0.3647835307;0.000213776575925	0.000522339356785;0.75281852765;0.939936744554;1.61491554235e-05	0.098;0.737;0.141;0.030	0.044;0.410;0.508;0.044	t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1	True	False	True	4	4	1	chr13	+	103451813-103457657;103451871-103457657;103453085-103457657;103454117-103457657	103451399-103451871;103451399-103451871;103452751-103453085;103453844-103454117;103457657-103457740	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/14_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#BIVM
TP53INP1	ENSG00000164938	ENSG00000164938:95938200-95942956:source	-0.456247716303;0.463580777271;-3.37126863311e-05	0.972309425129;0.977130106534;2.45225684674e-06	0.775;0.213;0.029	0.322;0.672;0.026	t|1e1.1o2|1e3.1o1|2e2.1o1	False	True	True	3	4	0	chr8	-	95942956-95952088;95942956-95944298;95942782-95951915	95938200-95942956;95944298-95944335;95951915-95951919;95952084-95952448	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/22_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TP53INP1
CDKN3	ENSG00000100526	ENSG00000100526:54863567-54863795:source	-0.213304056251;-0.0019483732783;0.31305093306	0.642696088843;8.44351444143e-05;0.90213045629	0.786;0.082;0.132	0.512;0.040;0.451	s|1e1.2o3|1e1.3o3|1e2.1o1	False	True	True	3	3	1	chr14	+	54863795-54866612;54863795-54866617;54863795-54868242	54863567-54863795;54866607-54866630;54866607-54866630;54868242-54868297	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/5_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CDKN3
ZFPL1	ENSG00000162300	ENSG00000162300:64852587-64852698:source	-0.335848188766;1.25985018346e-05;0.328708633174	0.9561894577;1.64804452605e-06;0.957172578537	0.971;0.027;0.026	0.640;0.028;0.348	s|1e1.2o2|1e2.1o2|i	False	False	True	2	3	1	chr11	+	64852698-64853887;64852698-64854178;64852698-64852699	64852587-64852698;64852699-64852758;64853811-64854080;64854178-64854264	;;;	;;;	(64852699, 64852758)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/21_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#ZFPL1
SSB	ENSG00000138385	ENSG00000138385:170655322-170655718:source	-0.296189803848;-1.78085386226e-07;2.38948779861e-05;0.276247268552	0.901065236257;1.5409817473e-11;7.05622821245e-10;0.860651733937	0.813;0.025;0.025;0.181	0.514;0.025;0.027;0.465	s|1e2.1o1|1e3.1o1|2e1.2o2|i	True	False	True	3	4	1	chr2	+	170655486-170657462;170655486-170661984;170655718-170655919;170655718-170655719	170655322-170655718;170655719-170655788;170655789-170656030;170657462-170657536;170661984-170662087	;;;;	;;;;	(170655719, 170655788)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/16_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#SSB
PFKFB3	ENSG00000170525	ENSG00000170525:6255586-6255711:target	-0.413320601327;-9.34048601943e-06;0.419460756177	0.998183263261;1.43524036543e-08;0.998556560824	0.480;0.026;0.513	0.077;0.025;0.922	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr10	+	6186976-6255586;6188459-6255586;6245299-6255586	6186881-6186976;6188279-6188459;6244829-6245299;6255586-6255711	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/25_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PFKFB3
CTNNB1	ENSG00000168036	ENSG00000168036:41281151-41281227:target	-0.241933077274;0.241933077274	0.80934060098;0.80934060098	0.551;0.449	0.305;0.695	t|1e1.2o2|i	False	False	False	1	2	1	chr3	+	41280845-41281151;41281150-41281151	41280624-41280845;41280846-41281150;41281151-41281227	;;	;;	(41280846, 41281150)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/24_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CTNNB1
TBC1D31	ENSG00000156787	ENSG00000156787:124089351-124089497:source	-0.272393529815;0.317627719597;-0.000412974605951	0.850411253845;0.917559703565;5.90906585819e-05	0.306;0.645;0.051	0.028;0.966;0.028	s|1e1.1o1|1e2.2o2|1e3.1o1	False	False	True	3	4	1	chr8	+	124089497-124089615;124089497-124094942;124089497-124096402	124089351-124089497;124089615-124089625;124094748-124095057;124096402-124096580	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/19_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TBC1D31
CTRL	ENSG00000141086	ENSG00000141086:67964311-67964491:source	-0.0779034414731;-0.000778877911009;0.208842548216	0.226773552997;0.000241173863474;0.614757007478	0.883;0.065;0.055	0.647;0.029;0.339	t|1e1.2o3|1e1.3o3|i	True	False	False	2	2	1	chr16	-	67964491-67964629;67964491-67964584;67964491-67964492	67964311-67964491;67964492-67964583;67964584-67964710;67964584-67964710	;;;	;;;	(67964492, 67964583)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/17_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CTRL
PSMA3-AS1	ENSG00000257621	ENSG00000257621:58758353-58758425:target	0.000744844013177;-0.141870801203;-0.223790087573;0.448221999543	0.000613472639018;0.334986726177;0.673764905814;0.980320705265	0.076;0.191;0.416;0.316	0.102;0.027;0.131;0.758	s|1e1.1o1|1e2.1o1|1e3.1o2|1e4.1o2	False	False	True	4	5	0	chr14	-	58755531-58758353;58752474-58758353;58740853-58758353;58740728-58758353	58740356-58740728;58740732-58740853;58752304-58752474;58755436-58755531;58758353-58758425	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/34_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PSMA3-AS1
