#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_p_A E(PSI)	Th2_p_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
KIF13B	ENSG00000197892	ENSG00000197892:28929137-28929833:source	0.291487784383;-0.291487784383	0.810061150285;0.810061150285	0.066;0.934	0.392;0.608	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr8	-	28929833-28950262;28929833-28932798	28929137-28929833;28932798-28932860;28950262-28950395	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/23_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#KIF13B
KIF13B	ENSG00000197892	ENSG00000197892:28950262-28950395:target	-0.258201475322;0.258201475322	0.776940970121;0.776940970121	0.944;0.056	0.653;0.347	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr8	-	28932860-28950262;28929833-28950262	28929137-28929833;28932798-28932860;28950262-28950395	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/23_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#KIF13B
KLHL7	ENSG00000122550	ENSG00000122550:23145353-23145765:source	-0.296531213858;0.297575929588;5.99486010281e-06;5.99486010281e-06	0.93273050883;0.916306059872;4.58219334227e-07;4.58219334227e-07	0.317;0.670;0.026;0.026	0.027;0.968;0.027;0.027	s|1e1.1o2|1e2.1o1|1e3.1o1|1e4.1o1	False	False	True	4	5	0	chr7	+	23145765-23157453;23145765-23163396;23145765-23164307;23145765-23180388	23145353-23145765;23157453-23157583;23163396-23163498;23164307-23164400;23180388-23180563	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/8_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#KLHL7
CHFR	ENSG00000072609	ENSG00000072609:133425227-133426546:source	-7.43436424534e-07;-7.43436424534e-07;-0.307587446654;0.308361007514	5.14770227548e-10;5.14770227548e-10;0.962455714907;0.959303425669	0.025;0.025;0.346;0.646	0.025;0.025;0.046;0.948	t|1e0|2e0|3e1.3o3|4e2.2o2|4e3.1o1|4e4.1o1	False	True	True	4	5	1	chr12	-	133425555-133447257;133425310-133433054;133425310-133430017;133425310-133428204	133425227-133426546;133428204-133428323;133430017-133430159;133433054-133433216;133447257-133447369	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/2_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#CHFR
CNPY3	ENSG00000137161	ENSG00000137161:42903150-42903211:target	-0.202019295746;0.202019295746	0.610155816573;0.610155816573	0.503;0.497	0.232;0.768	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr6	+	42897459-42903150;42902336-42903150	42896938-42897459;42902213-42902336;42903150-42903211	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/11_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#CNPY3
ZNF263	ENSG00000006194	ENSG00000006194:3336023-3336884:target	-0.316114927366;0.316114927366	0.879575415343;0.879575415343	0.389;0.611	0.057;0.943	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr16	+	3334205-3336023;3335754-3336023	3332943-3334205;3335681-3335754;3336023-3336884	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/0_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#ZNF263
SRA1	ENSG00000213523	ENSG00000213523:139936732-139936917:source	-2.24470732776e-05;0.486569770348;-0.481984964636	1.58784785357e-06;0.990171521563;0.988257174485	0.028;0.181;0.806	0.026;0.658;0.333	t|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr5	-	139936917-139937013;139936857-139937013;139936917-139936918	139936732-139936917;139936918-139937012;139937013-139937895;139937013-139937895	;;;	;;;	(139936918, 139937012)	file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/24_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#SRA1
ZNF394	ENSG00000160908	ENSG00000160908:99097261-99097494:target	-0.262302172659;0.262302172659	0.805423387565;0.805423387565	0.921;0.079	0.636;0.364	s|1e1.1o2|1e2.1o1	False	False	True	2	3	0	chr7	-	99096465-99097261;99092254-99097261	99090863-99092254;99095485-99096465;99097261-99097494	;;	;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/16_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#ZNF394
ST6GALNAC4	ENSG00000136840	ENSG00000136840:130674547-130674959:target	-0.151882421407;-0.00194672927672;0.295020240718;9.61024915788e-07	0.452923553457;0.000419445741022;0.799976661317;1.60447952536e-07	0.424;0.080;0.490;0.026	0.162;0.026;0.825;0.026	s|1e0|2e1.1o3|2e1.2o3|2e1.3o3|2e2.1o3	True	True	True	4	3	1	chr9	-	130672807-130674547;130672365-130674547;130672337-130674547;130670860-130674547	130670165-130670860;130672230-130672807;130672230-130672807;130672230-130672807;130674547-130674959	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/11_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#ST6GALNAC4
ST6GALNAC4	ENSG00000136840	ENSG00000136840:130672230-130672807:source	-0.140067272366;-0.00208389727572;1.06616434871e-06;0.286270376821	0.420473398585;0.000482159446694;1.56391435086e-07;0.782685550648	0.418;0.081;0.026;0.495	0.162;0.026;0.026;0.825	t|1e2.2o2|2e2.2o2|3e1.1o1|3e2.2o2	True	True	True	4	3	1	chr9	-	130672807-130674547;130672365-130674547;130672337-130676935;130672337-130674547	130672230-130672807;130674547-130674959;130674547-130674959;130674547-130674959;130676935-130677145	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1p_TH2p//summaries/11_Th1_p_A_Th2_p_A.deltapsi_quantify_deltapsi.html#ST6GALNAC4
