#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th17_p_A E(PSI)	Th17_e_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
PSEN1	ENSG00000080815	ENSG00000080815:73614651-73614814:source	0.000723240860396;-0.338643656784;9.57928506071e-05;0.209973785717	1.21580097664e-05;0.924880505413;2.01551908741e-07;0.640247855928	0.025;0.751;0.025;0.241	0.055;0.407;0.032;0.511	s|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1	True	True	True	4	3	0	chr14	+	73614802-73626717;73614802-73637505;73614814-73626717;73614814-73637505	73614651-73614814;73626717-73626846;73626717-73626846;73637505-73637758;73637505-73637758	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH17p_TH17e//summaries/5_Th17_p_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PSEN1
PSEN1	ENSG00000080815	ENSG00000080815:73637505-73637758:target	-0.278668694805;0.277604239338;1.83017544999e-06;1.83017544999e-06	0.793849376874;0.792937988752;5.40077712314e-09;5.40077712314e-09	0.745;0.246;0.025;0.025	0.434;0.556;0.025;0.025	t|1e1.1o2|1e1.2o2|1e2.2o2|1e3.1o1	True	False	True	4	4	0	chr14	+	73614802-73637505;73614814-73637505;73626846-73637505;73636169-73637505	73614651-73614814;73614651-73614814;73626717-73626846;73634537-73636169;73637505-73637758	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH17p_TH17e//summaries/5_Th17_p_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PSEN1
PRMT2	ENSG00000160310	ENSG00000160310:48069425-48069805:source	-1.30087278765e-06;-0.00792583336608;0.219692232844;-0.000426025669236;-0.00274448659356;-0.000648475988048	1.53036140397e-10;0.00366913418316;0.734045549618;2.02656033702e-06;0.000127015373452;5.43983991122e-06	0.025;0.126;0.696;0.046;0.076;0.052	0.025;0.045;0.925;0.026;0.025;0.026	s|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1|1e5.1o1|1e6.1o1|2e0|3e0	True	False	True	6	7	0	chr21	+	48069651-48071718;48069651-48072757;48069651-48078657;48069651-48081712;48069651-48083295;48069651-48084207	48069425-48069805;48071718-48072230;48072757-48072864;48076735-48079342;48081712-48081848;48083295-48083466;48084207-48085036	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH17p_TH17e//summaries/29_Th17_p_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PRMT2
HNRNPH3	ENSG00000096746	ENSG00000096746:70098563-70098983:target	1.81990065568e-09;-0.22317708837;3.63642560046e-07;0.219539188676	1.88441963981e-18;0.790219874535;4.87659107104e-18;0.769292583106	0.025;0.399;0.025;0.593	0.025;0.179;0.025;0.810	t|1e0|2e1.1o1|2e2.1o4|2e2.2o4|2e2.4o4	True	True	True	4	3	1	chr10	+	70097090-70098897;70098399-70098897;70098426-70098897;70098444-70098897	70096563-70097090;70098097-70098444;70098097-70098444;70098097-70098444;70098563-70098983	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH17p_TH17e//summaries/8_Th17_p_A_Th17_e_A.deltapsi_quantify_deltapsi.html#HNRNPH3
IL16	ENSG00000172349	ENSG00000172349:81600946-81605104:target	-0.226126355197;-7.46220935175e-05;-0.000110054590652;-7.43158081517e-05;0.316875549926	0.716083795234;7.7060535898e-08;1.70323916256e-07;7.64080521641e-08;0.929886180453	0.612;0.030;0.032;0.030;0.313	0.356;0.025;0.025;0.025;0.629	t|1e1.3o5|1e2.1o3|1e2.2o3|1e2.3o3|i	True	False	True	4	3	1	chr15	+	81598886-81600946;81600478-81600946;81600489-81600946;81600594-81600946;81600945-81600946	81598761-81599193;81600452-81600594;81600452-81600594;81600452-81600594;81600595-81600945;81600946-81605104	;;;;;	;;;;;	(81600595, 81600945)	file:///data/THelper/./voila/dpsi/TH17p_TH17e//summaries/36_Th17_p_A_Th17_e_A.deltapsi_quantify_deltapsi.html#IL16
RWDD3	ENSG00000122481	ENSG00000122481:95711614-95712213:source	-0.257037431273;0.257037431273	0.861935568925;0.861935568925	0.973;0.027	0.719;0.281	s|1e1.1o1|i	False	False	False	1	2	1	chr1	+	95712213-95712312;95712213-95712214	95711614-95712213;95712214-95712311;95712312-95712781	;;	;;	(95712214, 95712311)	file:///data/THelper/./voila/dpsi/TH17p_TH17e//summaries/15_Th17_p_A_Th17_e_A.deltapsi_quantify_deltapsi.html#RWDD3
ATP13A2	ENSG00000159363	ENSG00000159363:17331187-17331316:target	-0.457618313454;-0.000182039101266;0.264766912363;0.0211546146511	0.985799960376;2.6639645996e-06;0.709638653729;0.051796257991	0.622;0.038;0.242;0.101	0.172;0.027;0.573;0.247	s|1e1.1o2|1e1.2o2|2e1.1o2|2e1.2o2	True	True	False	4	2	0	chr1	-	17330906-17331202;17330903-17331202;17330906-17331187;17330903-17331187	17330827-17330906;17330827-17330906;17330827-17330906;17330827-17330906;17331187-17331316	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH17p_TH17e//summaries/29_Th17_p_A_Th17_e_A.deltapsi_quantify_deltapsi.html#ATP13A2
LEF1	ENSG00000138795	ENSG00000138795:108985492-108985540:target	-0.200273761798;-4.58348736036e-06;-1.08942371224e-07;0.210074100283	0.662067990956;2.99752330332e-11;1.29381638352e-13;0.703592512391	0.872;0.025;0.025;0.115	0.662;0.025;0.025;0.330	s|1e1.1o2|1e1.2o2|1e2.1o3|1e2.3o3	False	True	True	4	3	0	chr4	-	108984819-108985492;108984813-108985492;108969930-108985492;108969907-108985492	108968701-108969930;108968701-108969930;108984779-108984819;108984779-108984819;108985492-108985540	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH17p_TH17e//summaries/22_Th17_p_A_Th17_e_A.deltapsi_quantify_deltapsi.html#LEF1
LEF1	ENSG00000138795	ENSG00000138795:109000648-109000770:source	-0.242976628513;0.242976628513	0.914347645373;0.914347645373	0.262;0.738	0.025;0.975	t|1e1.2o3|1e2.2o3	False	False	True	2	3	0	chr4	-	109000770-109004512;109000770-109002742	109000648-109000770;109002740-109002825;109004369-109004602	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_TH17e//summaries/22_Th17_p_A_Th17_e_A.deltapsi_quantify_deltapsi.html#LEF1
LEF1	ENSG00000138795	ENSG00000138795:109004369-109004602:target	0.282310318658;-0.282310318658	0.9762585815;0.9762585815	0.700;0.300	0.975;0.025	s|1e0|2e1.1o1|2e2.1o1|3e0	True	False	True	2	3	0	chr4	-	109002825-109004512;109000770-109004512	109000648-109000770;109002740-109002825;109004369-109004602	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_TH17e//summaries/22_Th17_p_A_Th17_e_A.deltapsi_quantify_deltapsi.html#LEF1
TTC14	ENSG00000163728	ENSG00000163728:180326489-180326598:target	-0.265676621448;-0.00210333168242;-0.00015183049715;0.35478081889	0.852643874096;0.000517717795718;1.1623965002e-08;0.976562874228	0.490;0.162;0.034;0.314	0.217;0.119;0.025;0.661	t|1e1.1o1|1e2.1o1|2e1.1o1|i	True	True	True	3	3	1	chr3	+	180325553-180326489;180326059-180326489;180325553-180326506;180326488-180326489	180325436-180325553;180325436-180325553;180325951-180326059;180326060-180326488;180326489-180326598	;;;;	;;;;	(180326060, 180326488)	file:///data/THelper/./voila/dpsi/TH17p_TH17e//summaries/31_Th17_p_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TTC14
GPAT2	ENSG00000186281	ENSG00000186281:96688706-96688771:source	-0.0526219550736;-0.327424655772;0.502316908783	0.136812669518;0.917099017766;0.999114499174	0.231;0.484;0.285	0.074;0.151;0.775	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr2	-	96688771-96689671;96688771-96688854;96688771-96688772	96688706-96688771;96688772-96688853;96688854-96688974;96689671-96689748	;;;	;;;	(96688772, 96688853)	file:///data/THelper/./voila/dpsi/TH17p_TH17e//summaries/42_Th17_p_A_Th17_e_A.deltapsi_quantify_deltapsi.html#GPAT2
