#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th2_p_A E(PSI)	Th2_e_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
TRA2A	ENSG00000164548	ENSG00000164548:23571408-23571660:target	-0.000430204312189;0.204582169743;-0.161275798764	1.55634499086e-08;0.683236999292;0.520032943321	0.049;0.139;0.810	0.033;0.358;0.610	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr7	-	23570889-23571408;23562051-23571408;23561459-23571408	23561326-23561459;23561740-23562051;23570800-23570889;23571408-23571660	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/23_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TRA2A
ZNF644	ENSG00000122482	ENSG00000122482:91403042-91403647:target	0.209238650229;-0.209238650229	0.635202328026;0.635202328026	0.047;0.953	0.312;0.688	s|1e1.1o2|1e2.2o2	False	False	True	2	3	1	chr1	-	91401087-91403042;91383711-91403042	91383609-91383948;91400965-91401087;91403042-91403647	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/12_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#ZNF644
SP140	ENSG00000079263	ENSG00000079263:231118031-231118132:target	-0.00021439137798;0.24052058817;-0.191387964372	3.93749520147e-06;0.724524716753;0.596326474128	0.040;0.620;0.343	0.027;0.905;0.086	t|1e1.1o1|1e2.1o1|2e2.1o1	True	True	True	3	3	1	chr2	+	231113683-231118031;231115776-231118031;231115776-231118049	231113600-231113683;231115696-231115776;231115696-231115776;231118031-231118132	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/3_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#SP140
ZFPL1	ENSG00000162300	ENSG00000162300:64852587-64852698:source	0.242567894413;1.55967393552e-05;-0.244826680663	0.821328259821;3.91940592741e-07;0.833531427446	0.725;0.026;0.268	0.971;0.027;0.026	s|1e1.2o2|1e2.1o2|i	False	False	True	2	3	1	chr11	+	64852698-64853887;64852698-64854178;64852698-64852699	64852587-64852698;64852699-64852758;64853811-64854080;64854178-64854264	;;;	;;;	(64852699, 64852758)	file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/22_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#ZFPL1
AMDHD2	ENSG00000162066	ENSG00000162066:2578651-2578693:target	0.232397058218;-0.232397058218	0.702075258977;0.702075258977	0.411;0.589	0.691;0.309	t|1e1.3o3|i	False	False	False	1	2	1	chr16	+	2578560-2578651;2578650-2578651	2578447-2578560;2578561-2578650;2578651-2578693	;;	;;	(2578561, 2578650)	file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/22_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#AMDHD2
RPL19	ENSG00000108298	ENSG00000108298:37356536-37356996:source	0.251650907399;1.71082456367e-05;-8.35759857517e-05;-0.235541579249	0.772365813213;7.38709095125e-07;1.14097321546e-06;0.751790934803	0.643;0.025;0.033;0.325	0.929;0.027;0.027;0.056	s|1e1.2o3|1e1.3o3|2e1.2o3|3e1.2o3	True	True	False	4	2	0	chr17	+	37356602-37357466;37356602-37357475;37356731-37357466;37356996-37357466	37356536-37356996;37357385-37357572;37357385-37357572;37357385-37357572;37357385-37357572	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/9_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#RPL19
TTC19	ENSG00000011295	ENSG00000011295:15903432-15903774:source	-0.236770463529;0.236770463529	0.735818713611;0.735818713611	0.950;0.050	0.678;0.322	s|1e1.1o1|2e1.1o1|3e0	True	True	False	2	2	0	chr17	+	15903559-15905229;15903696-15905229	15903432-15903774;15905229-15905339;15905229-15905339	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/0_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TTC19
METTL17	ENSG00000165792	ENSG00000165792:21458623-21458891:source	0.20712314837;-0.20712314837	0.690940365544;0.690940365544	0.170;0.830	0.387;0.613	s|1e1.2o3|1e1.3o3|2e0	True	True	False	2	2	0	chr14	+	21458757-21460251;21458757-21460283	21458623-21458891;21459912-21460463;21459912-21460463	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/24_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#METTL17
RBM39	ENSG00000131051	ENSG00000131051:34328021-34328519:target	-0.0108537934555;-0.148910703503;0.241479341036	0.000359822393236;0.484028015261;0.779166613914	0.092;0.435;0.473	0.027;0.249;0.725	s|1e1.1o1|1e2.5o5|2e0|3e0|i	True	False	True	2	3	1	chr20	-	34327469-34328447;34326939-34328447;34328020-34328021	34326412-34327205;34327315-34327469;34327470-34328020;34328021-34328519	;;;	;;;	(34327470, 34328020)	file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/14_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#RBM39
TBC1D31	ENSG00000156787	ENSG00000156787:124113047-124113327:source	-0.363662273131;0.363662273131	0.973549078174;0.973549078174	0.391;0.609	0.032;0.968	s|1e1.1o1|1e2.1o1|2e0	True	False	True	2	3	0	chr8	+	124113247-124114487;124113247-124117528	124113047-124113327;124114487-124116441;124117528-124117704	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/21_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TBC1D31
SETD5	ENSG00000168137	ENSG00000168137:9475529-9475634:source	-1.99340243979e-05;-0.257444581601;0.272340355722;-1.38277744684e-05	1.27472719721e-06;0.67538321565;0.708663806296;8.08626220183e-07	0.027;0.720;0.263;0.027	0.026;0.384;0.606;0.025	s|1e0|2e1.2o2|2e2.1o2|2e2.2o2|i	True	True	True	3	3	1	chr3	+	9475634-9475729;9475634-9475961;9475634-9476018;9475634-9475635	9475529-9475634;9475635-9475676;9475677-9475865;9475961-9476169;9475961-9476169	;;;;	;;;;	(9475635, 9475676)	file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/25_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#SETD5
JMJD8	ENSG00000161999	ENSG00000161999:731671-732874:source	-0.0776262406741;0.00160050481364;0.235842436081;-0.144190842287	0.0354042112271;1.68308004169e-05;0.817278909957;0.24164272925	0.139;0.029;0.658;0.176	0.027;0.069;0.897;0.027	t|1e1.2o2|1e2.1o2|1e2.2o2|i	True	False	True	3	3	1	chr16	-	732874-733167;732874-732958;732874-732953;732874-732875	731671-732874;732875-732952;732953-733106;732953-733106;733167-733234	;;;;	;;;;	(732875, 732952)	file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/22_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#JMJD8
VEZT	ENSG00000028203	ENSG00000028203:95660133-95660409:source	0.392816814683;-0.424432617394;0.000163095603094	0.938680650667;0.964643070394;3.60949896919e-06	0.178;0.812;0.027	0.577;0.389;0.038	s|10e0|11e0|12e0|13e1.2o3|13e1.3o3|13e2.3o3|14e0|1e0|2e0|3e0|4e0|5e0|6e0|7e0|8e0|9e0	True	True	True	3	3	1	chr12	+	95660408-95663815;95660408-95663827;95660408-95668580	95660133-95660409;95663600-95663964;95663600-95663964;95668518-95668667	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/1_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#VEZT
TRMU	ENSG00000100416	ENSG00000100416:46748161-46748227:target	0.202954597019;-0.202954597019	0.637976921779;0.637976921779	0.768;0.232	0.973;0.027	t|1e1.1o1|i	False	False	False	1	2	1	chr22	+	46748071-46748161;46748160-46748161	46747547-46748071;46748072-46748160;46748161-46748227	;;	;;	(46748072, 46748160)	file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/5_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TRMU
PXK	ENSG00000168297	ENSG00000168297:58410479-58411748:target	-6.19706046211e-05;-0.183403306262;0.206148673363;-0.000640594551209;0.000111922898076	6.52300299034e-08;0.513633813647;0.683482885884;1.00312740725e-05;3.53349710958e-07	0.030;0.207;0.710;0.057;0.025	0.025;0.025;0.940;0.031;0.033	t|1e1.1o1|1e2.1o1|1e3.1o2|1e4.1o4|1e5.1o1	False	False	True	5	6	1	chr3	+	58395345-58410479;58395886-58410479;58398690-58410479;58406295-58410479;58409221-58410479	58395259-58395345;58395817-58395886;58398628-58400254;58406263-58406687;58409188-58409221;58410479-58411748	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/25_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#PXK
BSCL2	ENSG00000168000	ENSG00000168000:62472773-62473089:source	0.221235833935;-5.53522018877e-07;-2.0180359563e-05;-0.238231891258;-5.53522018877e-07;-5.53522018877e-07;-5.53522018877e-07	0.712470740489;5.66936051185e-09;1.19221285605e-06;0.796549019911;5.66936051185e-09;5.66936051185e-09;5.66936051185e-09	0.680;0.025;0.034;0.280;0.025;0.025;0.025	0.932;0.025;0.032;0.035;0.025;0.025;0.025	t|1e1.3o3|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3|1e4.3o3|2e1.3o3	True	True	True	7	5	0	chr11	-	62473089-62474581;62473089-62474085;62473089-62473731;62473089-62473675;62473089-62473475;62473089-62473388;62473030-62474581	62472773-62473089;62473388-62473728;62473388-62473728;62473388-62473728;62473731-62473816;62474085-62474183;62474581-62474990;62474581-62474990	;;;;;;;	;;;;;;;		file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/25_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#BSCL2
USP36	ENSG00000055483	ENSG00000055483:76794482-76794633:target	0.395343533123;-0.401752622174;1.62398564648e-06;3.65259373798e-05	0.965969230654;0.978288479538;4.02502052137e-08;4.0553772395e-06	0.438;0.527;0.026;0.035	0.830;0.132;0.026;0.037	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1	False	True	True	4	4	0	chr17	-	76793984-76794482;76793961-76794482;76792576-76794482;76783740-76794482	76783463-76783740;76792399-76792576;76793868-76793984;76793868-76793984;76794482-76794633	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/2_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#USP36
MDFIC	ENSG00000135272	ENSG00000135272:114562909-114563369:source	-0.244759222263;0.244412344447;3.30898751744e-08	0.850184193995;0.844232575364;7.21808997285e-11	0.283;0.712;0.025	0.041;0.955;0.025	s|1e1.1o1|1e2.1o1|2e2.1o1	True	True	True	3	3	1	chr7	+	114563182-114563514;114563182-114582330;114563369-114582330	114562909-114563369;114563514-114563720;114582330-114582452;114582330-114582452	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH2e//summaries/16_Th2_p_A_Th2_e_A.deltapsi_quantify_deltapsi.html#MDFIC
