#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th2_p_A E(PSI)	Th17_p_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
SLC25A23	ENSG00000125648	ENSG00000125648:6453992-6454099:target	-0.213226219949;0.213226219949	0.623141191748;0.623141191748	0.892;0.108	0.602;0.398	s|1e1.2o3|1e2.1o2	False	False	True	2	3	0	chr19	-	6452490-6453992;6444312-6453992	6444162-6444312;6452323-6452612;6453992-6454099	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/11_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#SLC25A23
SLC25A23	ENSG00000125648	ENSG00000125648:6444162-6444312:source	0.000213243318319;0.225810644486;-0.274341649733	8.20033715529e-06;0.677169137345;0.786677599975	0.027;0.092;0.899	0.041;0.376;0.586	t|1e1.1o1|1e2.1o1|1e3.1o1|2e0	False	True	True	3	4	0	chr19	-	6444312-6454334;6444312-6453992;6444312-6452323	6444162-6444312;6452323-6452612;6453992-6454099;6454334-6454486	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/11_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#SLC25A23
PRPF40B	ENSG00000110844	ENSG00000110844:50037474-50037594:source	-0.697935017825;0.697935017825	0.99999429244;0.99999429244	0.930;0.070	0.250;0.750	s|1e1.1o1|2e0|i	True	False	False	1	2	1	chr12	+	50037535-50037644;50037594-50037595	50037474-50037594;50037595-50037643;50037644-50037787	;;	;;	(50037595, 50037643)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/8_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#PRPF40B
FAM13B	ENSG00000031003	ENSG00000031003:137284644-137284873:target	-0.318707497619;0.318707497619	0.870604942378;0.870604942378	0.455;0.545	0.117;0.883	s|1e1.2o2|1e2.1o1	False	False	True	2	3	0	chr5	-	137282000-137284644;137281686-137284644	137281591-137281686;137281917-137282084;137284644-137284873	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/1_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#FAM13B
FAM13B	ENSG00000031003	ENSG00000031003:137295305-137295452:target	0.328708235808;-0.328708235808	0.94437636001;0.94437636001	0.029;0.971	0.353;0.647	s|1e1.1o1|1e2.2o2	False	False	True	2	3	0	chr5	-	137292231-137295305;137290065-137295305	137289855-137290313;137292166-137292231;137295305-137295452	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/1_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#FAM13B
MTRF1L	ENSG00000112031	ENSG00000112031:153308497-153311230:source	-0.320373850427;0.320373850427	0.767475702346;0.767475702346	0.604;0.396	0.221;0.779	t|1e1.1o1|1e2.2o2	False	False	True	2	3	0	chr6	-	153311230-153313992;153311230-153312320	153308497-153311230;153312320-153312551;153313992-153314109	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/9_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#MTRF1L
MON1B	ENSG00000103111	ENSG00000103111:77227334-77227843:source	-1.71329838066e-05;-0.229651692704;0.232593151367	3.04217119512e-07;0.788144958632;0.799319146918	0.027;0.971;0.026	0.025;0.739;0.255	s|1e0|2e2.2o2|3e0|4e1.2o2|5e0|i	True	False	True	2	3	1	chr16	+	77227528-77229475;77227674-77228232;77227843-77227844	77227334-77227843;77227844-77227864;77227865-77229051;77229432-77229583	;;;	;;;	(77227844, 77227864)	file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/6_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#MON1B
PIP5K1C	ENSG00000186111	ENSG00000186111:3641703-3641807:source	0.369568889805;-0.369568889805	0.967818821765;0.967818821765	0.052;0.948	0.417;0.583	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr19	-	3641807-3643241;3641807-3642905	3641703-3641807;3642905-3642937;3643241-3643379	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/28_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#PIP5K1C
NCR3	ENSG00000204475	ENSG00000204475:31557303-31557410:target	-0.00359657192669;0.228288897414;-0.147392436236	0.00042292987893;0.721912881271;0.499013690719	0.112;0.621;0.267	0.052;0.893;0.058	s|1e1.1o1|1e2.1o2|1e2.2o2	False	True	True	3	3	0	chr6	-	31557165-31557303;31557008-31557303;31556953-31557303	31556672-31557008;31556672-31557008;31557051-31557165;31557303-31557410	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/31_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#NCR3
ZNF394	ENSG00000160908	ENSG00000160908:99090863-99092254:source	-0.228774951824;0.228774951824	0.690822810357;0.690822810357	0.380;0.620	0.100;0.900	t|1e1.1o1|1e2.1o4	False	False	True	2	3	0	chr7	-	99092254-99097261;99092254-99096339	99090863-99092254;99095485-99096465;99097261-99097494	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/20_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#ZNF394
ACAD9	ENSG00000177646	ENSG00000177646:128598439-128598954:source	0.200664783996;3.62635959501e-07;-7.11175488893e-05;3.62635959501e-07;-0.173637096864;3.62635959501e-07;3.62635959501e-07	0.66646862123;2.36578217385e-09;1.51280508292e-07;2.36578217385e-09;0.543882542909;2.36578217385e-09;2.36578217385e-09	0.735;0.025;0.031;0.025;0.231;0.025;0.025	0.957;0.025;0.025;0.025;0.033;0.025;0.025	s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.3o3|2e1.1o3|2e2.3o3|3e1.1o3	True	True	True	7	3	0	chr3	+	128598684-128603496;128598684-128603500;128598684-128603518;128598684-128612398;128598860-128603496;128598860-128612398;128598954-128603496	128598439-128598954;128603496-128603589;128603496-128603589;128603496-128603589;128603496-128603589;128603496-128603589;128612362-128612499;128612362-128612499	;;;;;;;	;;;;;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/26_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#ACAD9
CES2	ENSG00000172831	ENSG00000172831:66969467-66969879:source	-0.0317105288984;-0.0132135237299;0.244247602325	0.0854571452126;0.0135425098161;0.838934419653	0.860;0.132;0.026	0.705;0.033;0.266	s|1e1.1o2|2e1.1o2|3e1.1o2	True	True	False	3	2	0	chr16	+	66969614-66971940;66969778-66971940;66969879-66971940	66969467-66969879;66971940-66972291;66971940-66972291;66971940-66972291	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/25_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#CES2
ANKHD1	ENSG00000131503	ENSG00000131503:139884354-139884551:target	0.322615479829;-0.322615479829	0.982071199078;0.982071199078	0.029;0.971	0.345;0.655	t|1e0|2e1.1o1|2e2.1o1	False	True	True	2	3	0	chr5	+	139866645-139884406;139876863-139884406	139866152-139866645;139876235-139876863;139884354-139884551	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/12_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#ANKHD1
ANKHD1	ENSG00000131503	ENSG00000131503:139866152-139866645:source	-0.297704741696;0.297704741696	0.963109403243;0.963109403243	0.971;0.029	0.678;0.322	s|1e1.1o1|1e2.2o2	False	False	True	2	3	0	chr5	+	139866645-139876105;139866645-139884406	139866152-139866645;139876105-139876132;139884354-139884551	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/12_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#ANKHD1
DDHD1	ENSG00000100523	ENSG00000100523:53510686-53513667:source	-0.223852102819;0.223852102819	0.622236238045;0.622236238045	0.625;0.375	0.319;0.681	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr14	-	53513667-53521156;53513667-53518562	53510686-53513667;53518562-53518645;53521156-53521347	;;	;;		file:///data/THelper/./voila/dpsi/TH2p_TH17p//summaries/5_Th2_p_A_Th17_p_A.deltapsi_quantify_deltapsi.html#DDHD1
