#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th17_p_A E(PSI)	Th17_p_r E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
ID2	ENSG00000115738	ENSG00000115738:8822910-8823137:target	-0.355146951201;0.355146951201	0.995543619281;0.995543619281	0.882;0.118	0.535;0.465	t|1e0|2e1.1o1|i	False	True	False	1	2	1	chr2	+	8822643-8822973;8822909-8822910	8821984-8822643;8822644-8822909;8822910-8823137	;;	;;	(8822644, 8822909)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/18_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#ID2
SNHG8	ENSG00000269893	ENSG00000269893:119200544-119200586:target	0.000136789715966;-0.34466108382;0.318245704917	2.04410325057e-07;0.961698237549;0.930879681006	0.025;0.850;0.147	0.032;0.511;0.463	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr4	+	119199947-119200544;119200292-119200544;119200543-119200544	119199864-119199947;119200099-119200292;119200476-119200543;119200544-119200586	;;;	;;;	(119200476, 119200543)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/63_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#SNHG8
SNHG8	ENSG00000269893	ENSG00000269893:119200099-119200292:source	-0.524968199629;0.524968199629	0.999993633246;0.999993633246	0.881;0.119	0.369;0.631	s|1e1.1o1|i	False	False	False	1	2	1	chr4	+	119200292-119200544;119200292-119200293	119200099-119200292;119200293-119200344;119200544-119200586	;;	;;	(119200293, 119200344)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/63_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#SNHG8
COG4	ENSG00000103051	ENSG00000103051:70543134-70543291:target	3.05581299075e-06;-0.426291297606;0.425546750396	4.82232055391e-07;0.966350330504;0.965166743084	0.027;0.650;0.341	0.027;0.226;0.764	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr16	-	70542727-70543134;70542367-70543134;70543133-70543134	70542309-70542367;70542704-70542727;70542728-70543133;70543134-70543291	;;;	;;;	(70542728, 70543133)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/11_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#COG4
LDB1	ENSG00000198728	ENSG00000198728:103868786-103868934:target	-0.263350667124;-0.021393370935;0.00014336149521;0.369778770387	0.913444927102;0.0439015152744;2.76864872198e-07;0.978881907872	0.320;0.333;0.025;0.334	0.060;0.216;0.032;0.696	s|1e1.1o2|2e1.1o2|2e1.2o2|i	True	True	False	3	2	1	chr10	-	103868080-103868792;103868080-103868786;103868079-103868786;103868785-103868786	103867317-103868080;103867317-103868080;103867317-103868080;103868081-103868785;103868786-103868934	;;;;	;;;;	(103868081, 103868785)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/57_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#LDB1
LRRC75A-AS1	ENSG00000175061	ENSG00000175061:16342895-16343017:source	-7.65988599726e-06;-0.437878608513;0.45349821141	7.78487852684e-15;0.999711147886;0.999899323778	0.025;0.801;0.182	0.025;0.374;0.624	s|1e0|2e1.1o3|2e1.3o3|i	True	True	False	2	2	1	chr17	+	16343017-16343425;16343017-16343499;16343017-16343018	16342895-16343017;16343018-16343349;16343425-16343567;16343425-16343567	;;;	;;;	(16343018, 16343349)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/49_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#LRRC75A-AS1
PKIA	ENSG00000171033	ENSG00000171033:79510593-79510770:target	-0.305408410488;0.304221848623;4.04644218646e-05	0.96805152334;0.954574031194;1.48819414724e-06	0.327;0.668;0.025	0.028;0.968;0.028	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr8	+	79428703-79510593;79485174-79510593;79503518-79510593	79428374-79428703;79485046-79485174;79503466-79503518;79510593-79510770	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/47_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#PKIA
MAST2	ENSG00000086015	ENSG00000086015:46497850-46497932:source	0.396522101926;5.07127134223e-05;-0.408179561985	0.992147126372;2.98802697707e-06;0.993631568231	0.026;0.026;0.972	0.413;0.029;0.574	s|1e1.1o2|2e1.2o2|i	True	True	False	2	2	1	chr1	+	46497930-46497995;46497932-46498002;46497932-46497933	46497850-46497932;46497933-46497994;46497995-46498076;46497995-46498076	;;;	;;;	(46497933, 46497994)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/7_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#MAST2
PAN2	ENSG00000135473	ENSG00000135473:56716399-56716570:target	-0.215210711284;0.215210711284	0.651235712349;0.651235712349	0.950;0.050	0.691;0.309	s|1e1.2o2|i	False	False	False	1	2	1	chr12	-	56716266-56716399;56716398-56716399	56716207-56716303;56716304-56716398;56716399-56716570	;;	;;	(56716304, 56716398)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/27_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#PAN2
PAN2	ENSG00000135473	ENSG00000135473:56712872-56712965:source	0.256548849064;4.42549880373e-05;-0.270806812954	0.725121150254;2.34366182358e-06;0.762651061941	0.539;0.026;0.454	0.850;0.028;0.137	t|1e1.2o3|1e1.3o3|i	True	False	False	2	2	1	chr12	-	56712965-56713092;56712965-56713062;56712965-56712966	56712872-56712965;56712966-56713061;56713062-56713273;56713062-56713273	;;;	;;;	(56712966, 56713061)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/27_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#PAN2
