#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th17_e_A E(PSI)	Th17_e_r E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
ID2	ENSG00000115738	ENSG00000115738:8822910-8823137:target	-0.522999106435;0.522999106435	0.999994035631;0.999994035631	0.829;0.171	0.319;0.681	t|1e0|2e1.1o1|i	False	True	False	1	2	1	chr2	+	8822643-8822973;8822909-8822910	8821984-8822643;8822644-8822909;8822910-8823137	;;	;;	(8822644, 8822909)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/15_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#ID2
ID2	ENSG00000115738	ENSG00000115738:8821984-8822643:source	-0.608245450857;0.608245450857	0.999999995014;0.999999995014	0.914;0.086	0.321;0.679	s|1e1.2o2|i	False	False	False	1	2	1	chr2	+	8822643-8822973;8822643-8822644	8821984-8822643;8822644-8822909;8822910-8823137	;;	;;	(8822644, 8822909)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/15_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#ID2
ID2	ENSG00000115738	ENSG00000115738:8822910-8823137:source	-0.237739708728;0.237739708728	0.794552146079;0.794552146079	0.909;0.091	0.667;0.333	s|1e1.1o1|2e0|i	True	False	False	1	2	1	chr2	+	8823036-8823815;8823137-8823138	8822910-8823137;8823138-8823814;8823815-8824583	;;	;;	(8823138, 8823814)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/15_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#ID2
SNHG8	ENSG00000269893	ENSG00000269893:119200544-119200586:target	-0.000158192589342;-0.517189697661;0.538261600737	3.28165727217e-07;0.99967843186;0.999898468025	0.033;0.848;0.124	0.026;0.344;0.649	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr4	+	119199947-119200544;119200292-119200544;119200543-119200544	119199864-119199947;119200099-119200292;119200476-119200543;119200544-119200586	;;;	;;;	(119200476, 119200543)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/50_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#SNHG8
SNHG8	ENSG00000269893	ENSG00000269893:119200099-119200292:source	-0.424858740038;0.424858740038	0.990386380367;0.990386380367	0.923;0.077	0.507;0.493	s|1e1.1o1|i	False	False	False	1	2	1	chr4	+	119200292-119200544;119200292-119200293	119200099-119200292;119200293-119200344;119200544-119200586	;;	;;	(119200293, 119200344)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/50_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#SNHG8
COG4	ENSG00000103051	ENSG00000103051:70543134-70543291:target	-1.25949697855e-06;-0.229806217671;0.230463610605	1.28289200001e-11;0.72108855723;0.72266373548	0.025;0.487;0.508	0.025;0.230;0.767	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr16	-	70542727-70543134;70542367-70543134;70543133-70543134	70542309-70542367;70542704-70542727;70542728-70543133;70543134-70543291	;;;	;;;	(70542728, 70543133)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/11_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#COG4
LRRC75A-AS1	ENSG00000175061	ENSG00000175061:16342895-16343017:source	-1.09277078516e-06;-0.61199577783;0.612929600145	2.13747860278e-12;0.99999999624;0.99999999676	0.025;0.888;0.108	0.025;0.291;0.706	s|1e0|2e1.1o3|2e1.3o3|i	True	True	False	2	2	1	chr17	+	16343017-16343425;16343017-16343499;16343017-16343018	16342895-16343017;16343018-16343349;16343425-16343567;16343425-16343567	;;;	;;;	(16343018, 16343349)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/39_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#LRRC75A-AS1
PKIA	ENSG00000171033	ENSG00000171033:79510593-79510770:target	-0.345596548951;0.335852288306;3.92985125712e-05	0.929884509268;0.910847847043;9.63001632122e-07	0.451;0.543;0.025	0.100;0.889;0.028	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr8	+	79428703-79510593;79485174-79510593;79503518-79510593	79428374-79428703;79485046-79485174;79503466-79503518;79510593-79510770	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/37_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#PKIA
SSB	ENSG00000138385	ENSG00000138385:170655322-170655718:source	0.336321390324;0.00549934763666;-1.24000883949e-05;-0.433501370637	0.926665318063;0.00242176259258;2.66164524886e-07;0.999314552876	0.514;0.025;0.027;0.465	0.855;0.097;0.026;0.043	s|1e2.1o1|1e3.1o1|2e1.2o2|i	True	False	True	3	4	1	chr2	+	170655486-170657462;170655486-170661984;170655718-170655919;170655718-170655719	170655322-170655718;170655719-170655788;170655789-170656030;170657462-170657536;170661984-170662087	;;;;	;;;;	(170655719, 170655788)	file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/24_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#SSB
KCTD18	ENSG00000155729	ENSG00000155729:201371580-201371814:source	-6.32235039581e-06;0.410777811878;-0.408614823007	1.43687964105e-06;0.941480620175;0.936849358587	0.027;0.164;0.826	0.027;0.581;0.410	t|1e1.1o1|1e2.1o2|1e2.2o2	True	False	True	3	3	0	chr2	-	201371814-201384421;201371814-201374734;201371814-201374351	201371580-201371814;201374351-201374791;201374351-201374791;201384421-201384507	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17e_PolyAvTotal//summaries/29_Th17_e_A_Th17_e_r.deltapsi_quantify_deltapsi.html#KCTD18
