#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_e_A E(PSI)	Th1_e_r E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
ID2	ENSG00000115738	ENSG00000115738:8822910-8823137:target	-0.445139700566;0.445139700566	0.999984055938;0.999984055938	0.853;0.147	0.419;0.581	t|1e0|2e1.1o1|i	False	True	False	1	2	1	chr2	+	8822643-8822973;8822909-8822910	8821984-8822643;8822644-8822909;8822910-8823137	;;	;;	(8822644, 8822909)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/18_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#ID2
RPS28	ENSG00000233927	ENSG00000233927:8386042-8386458:source	0.440137071873;-0.440137071873	0.997357361132;0.997357361132	0.527;0.473	0.956;0.044	s|1e1.2o2|2e1.2o2	True	True	False	2	2	1	chr19	+	8386453-8386540;8386458-8386540	8386042-8386458;8386518-8386587;8386518-8386587	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/58_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#RPS28
DNM1L	ENSG00000087470	ENSG00000087470:32890039-32890240:source	-0.27262574219;0.352307162746;-0.00330809593322	0.793196418413;0.92117814238;0.000618123544265	0.439;0.472;0.089	0.136;0.831;0.037	s|1e1.1o1|1e2.1o1|1e3.2o3|2e0	True	False	True	3	4	0	chr12	+	32890095-32890799;32890095-32891198;32890095-32892998	32890039-32890240;32890799-32890876;32891198-32891230;32892779-32893174	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/7_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#DNM1L
IL16	ENSG00000172349	ENSG00000172349:81598761-81599193:source	-0.00886575576311;-0.146978768521;0.223918391618	0.00195636483527;0.429782822719;0.764335429918	0.283;0.440;0.277	0.227;0.271;0.503	s|1e0|2e0|3e0|3e1.1o1|3e2.1o1|4e0|5e0|i	True	False	True	2	3	1	chr15	+	81598886-81600452;81598886-81600946;81599193-81599194	81598761-81599193;81599194-81600451;81600452-81600594;81600946-81605104	;;;	;;;	(81599194, 81600451)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/45_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#IL16
RBM4	ENSG00000173933	ENSG00000173933:66406088-66406364:source	0.0108764275807;-5.54809135214e-06;-0.336633644685;0.223598270739	0.0217264121926;2.79457701667e-09;0.934133751584;0.785509810649	0.285;0.025;0.707;0.025	0.384;0.025;0.369;0.244	s|1e1.2o3|1e1.3o3|2e1.2o3|i	True	True	False	3	2	1	chr11	+	66406223-66407171;66406223-66407310;66406364-66407171;66406364-66406365	66406088-66406364;66406365-66406405;66406406-66408663;66406406-66408663;66406406-66408663	;;;;	;;;;	(66406365, 66406405)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/46_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#RBM4
ZBTB32	ENSG00000011590	ENSG00000011590:36206813-36206909:target	-0.000955439147243;0.00159280736789;-0.783284329696;0.749220249413	1.16349617005e-05;0.000679606092419;0.999999913685;0.999999913666	0.052;0.025;0.920;0.030	0.029;0.073;0.156;0.760	t|1e2.1o1|2e1.1o1|2e2.1o1|i	True	True	True	3	3	1	chr19	+	36206732-36206813;36206409-36206841;36206732-36206841;36206812-36206813	36205425-36206409;36206659-36206732;36206659-36206732;36206733-36206812;36206813-36206909	;;;;	;;;;	(36206733, 36206812)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/0_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#ZBTB32
PDPR	ENSG00000090857	ENSG00000090857:70182367-70182494:source	0.307085425445;-0.307085425445	0.943344976219;0.943344976219	0.664;0.336	0.969;0.031	s|1e1.1o1|1e2.1o1|2e0	True	False	True	2	3	0	chr16	+	70182456-70187294;70182456-70190378	70182367-70182494;70187294-70187476;70190378-70195203	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/8_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#PDPR
PDPR	ENSG00000090857	ENSG00000090857:70190378-70195203:target	-0.257633774149;0.257633774149	0.843620206983;0.843620206983	0.304;0.696	0.034;0.966	t|1e1.1o2|1e2.2o2	False	False	True	2	3	0	chr16	+	70182456-70190378;70187476-70190378	70182367-70182494;70187294-70187476;70190378-70195203	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/8_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#PDPR
SNHG8	ENSG00000269893	ENSG00000269893:119200544-119200586:target	0.00042457639698;-0.388568835587;0.352645707174	6.28718351212e-06;0.992573172518;0.978632539421	0.025;0.927;0.070	0.041;0.548;0.414	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr4	+	119199947-119200544;119200292-119200544;119200543-119200544	119199864-119199947;119200099-119200292;119200476-119200543;119200544-119200586	;;;	;;;	(119200476, 119200543)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/61_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#SNHG8
COG4	ENSG00000103051	ENSG00000103051:70543134-70543291:target	1.46987232067e-05;-0.284468433379;0.279416114204	1.35295068347e-08;0.821030008939;0.809840199286	0.025;0.623;0.372	0.026;0.316;0.677	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr16	-	70542727-70543134;70542367-70543134;70543133-70543134	70542309-70542367;70542704-70542727;70542728-70543133;70543134-70543291	;;;	;;;	(70542728, 70543133)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/11_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#COG4
